R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank
Kamaru Usman,Gilbert Burns,-278,228,35.97122302,228,NaN,TRUE,5,0,-6,-6,0,3,-7,-3,1,3,-5.08,-12.7,1,-1.35,0.6,-1.17,Red
Maycee Barber,Alexa Grasso,-107,-107,93.45794393,93.45794393,NaN,FALSE,3,-1,1,-3,0,2,8,0,-4,0,0,2.54,5,-0.67,0.2,-0.63,Red
Kelvin Gastelum,Ian Heinisch,-205,174,48.7804878,174,NaN,FALSE,3,-3,1,-2,-6,-4,-30,-1,-1,-2,5.08,2.54,3,-0.1,0.4,0.29,Red
Ricky Simon,Brian Kelleher,-253,210,39.5256917,210,NaN,FALSE,3,0,-1,-2,0,2,-2,0,1,2,0,-7.62,6,1.36,0.5,-5.87,neither
Maki Pitolo,Julian Marquez,145,-177,145,56.49717514,NaN,FALSE,3,-1,0,1,0,-2,-3,0,-1,1,10.16,-7.62,0,-1.07,2.6,-1.45,neither
Rodolfo Vieira,Anthony Hernandez,-487,365,20.5338809,365,NaN,FALSE,3,1,-2,-1,-1,2,3,0,0,-1,0,5.08,-4,3.18,-1.5,-0.78,neither
Belal Muhammad,Dhiego Lima,-447,340,22.37136465,340,NaN,FALSE,3,0,0,-1,-4,2,-13,0,0,-1,7.62,7.62,0,-1.64,0.6,-0.47,Red
Polyana Viana,Mallory Martin,100,-115,100,86.95652174,NaN,FALSE,3,0,0,0,0,-2,-2,0,0,-1,-2.54,-10.16,-1,0.35,-1.1,2.02,neither
Andre Ewell,Chris Gutierrez,112,-129,112,77.51937984,NaN,FALSE,3,0,1,1,-1,-1,-5,0,1,0,2.54,-20.32,-4,-0.27,0.2,0.3,neither
Gabe Green,Philip Rowe,-138,120,72.46376812,120,NaN,FALSE,3,-1,1,1,1,-1,0,0,1,0,12.7,17.78,3,-0.29,0,0,neither
Gillian Robertson,Miranda Maverick,142,-165,142,60.60606061,NaN,FALSE,3,-1,1,-1,-5,-3,-17,0,0,-4,-5.08,5.08,-2,7.75,-0.9,-2.64,neither
